text,sandwich_id,eater_id
SIT AWAY FROM THE DOORWAY,2,
BUT HOW WAS THE SHRIMP?!?!?!,3,30
"Ben, The shrimp was good but nothing crazy",3,1
next time try it with cream cheese!,5,
sounds delish!,9,6
what she said,9,20
what is the difference between this column and column E??,11,6
"Aliya, this column is where other people can comment on your sandwich experience",11,1
OH/AWESOME.,11,6
"SHANNON, based on your sandwich choices, you should probably be jewish.",12,6
I HAD this sandwich!!!!!. Love how much tuna you've been eating. Really inspiring,14,8
"Aliya, will these be availible to buy during your opening on Saturday?",15,1
"UPDATE: they took them off the menu, health code violation (must be stored at sub-38 degree environments? lame. germs don't exist)",15,6
are there no condiments at all/?! i suggest adding lemon juice or mustard or tomato or something,17,
Lemon &/or hot pepper is a nice addition,17,
"What! This sounds so crazy, i cant wait to try",20,10
Myla this is hilarious.  Especially because you ate it at work,21,1
this sounds like a really zesty delish/incredibly innovative vegetarian sandwich (known for their lameness)!,22,6
i am glad you eat in your bed,22,10
YEAH ABSOLUTELY,24,2
sandwiches4lyfe needs to tweet sam's note,25,6
a+,26,
"Molly, I also added this to the other tab of this spreadsheet which is all sandwich recommendations",26,1
"I THINK WE NEED A COLOR CODE SYSTEM -- GREEN FOR GOOD SANDWICHES, RED FOR BAD ONES, ETC. maybe a cloud tagging system. maybe a blog.....",28,6
i agree,28,10
:-( sickie sick,29,10
I LOVE SANDWICH CLUB. THIS DOCUMENT IS GREAT!,31,
maybe cheese as the final ingredient?,33,
PICKLED RHUBARB??? geezus i didn't even know that was on that. i don't even know what normal rhubarb tastes like.,35,6
"4/16 update: took my mom here, she also agreed this sandwich was ""the best""",35,6
very impressive for not your best sandwich.,36,
i challenge your hillel sandwich to a passover sandwich off. who's coming up to wassaic to try mine?? friday april 13. be there or be hametz.,37,6
"shit gurl, 3 bones for an A+ sandwich? nice.",38,
This sounds SO GOOD,40,1
what about on some matza?,40,6
what about adding cucumber???,41,6
"That sounds like a good idea, though one potential problem might be trying to get everything to stay in the sandwich.",41,1
truth,41,6
bierkraft has my favorite sandwiches ever!! I'm sad you haven't had a good experience. I have been there too many times to try to recount the past experiences but I'll make a note the next time i go.,42,13
"I think I need to get into the ""build your own"" option.  What do you usually order, Claire?",42,1
i know the power of almond butter but this is impressive. nice.,43,6
Can we talk about other butters?  Is cashew butter something I should be getting into?  Pistachio butter?,43,1
nothing compares to almond butter,43,6
"tahini. --mmmm, debatable. I frequently think it's tahini either diluted with something else, like yogurt. Either way, pretty delicious",44,
I think i have had this same sandwich,45,10
Back in the Kitchen is THE BEST,49,1
Closest I've come to licking my plate (in public) in months.,50,
GRAPES! revolutionary. i approve of all forms of grapes. maybe raisins would be good for camping?,56,6
OH WOW,58,1
MAKING YOUR OWN PESTO = awesome. maybe i'll try making some parsley pesto with this surplus i got lately...,59,6
I look forward to making this for myself.  Sounds so tasty!,60,1
"OK. see my version, #49",65,6
solid,74,6
"tell me which bakery, please?",75,27
BREAD AND ROSES!!! THE BEST. IN OGUNQUIT MAINE.,75,6
canned salmon is a goldmine of secret delish sandwiches,77,6
Had to add some sugar to the chutney to make it play nice with the sandwich meat.  Worked kind of like a cranberry sauce. Next time I'd use butter rather than mayo.,78,
"hot sauce is a nice addition, i tried it the other day and will add it to my ordering repetoire",82,31
I cannot wait to try this,86,1
"Bierkraft is amazing.  I've been going there since they opening and it's absolutely delightful that you can drink a pint of cask beer and eat chocolate, cheese, and sandwiches generally unbothered for most of the afternoon.",86,3
sounds great when's the south slope club meeting???,86,6
"see aliya's entry, #49 for my version of ""the Breanne""",87,
"I also really love this sandwich - meatloaf sandwiches often have mushy flavor and texture, but this one is rather dynamic.",89,
I've been dreaming about this sandwich all summer,91,29
Good! glad it  made it!,97,1
OMG YES PLZ,102,31
sounds great,103,31
i would have stopped at Amazing too just because of the name. Don't be ashamed.,106,6
The best sandwiches are eaten in good company,109,1
Fresh dill is usually a staple ingredient in my egg salad recipe!!!! just so we are clear!,109,31
Could not agree more about dutch crunch,113,1
FYI_https://twitter.com/Sandwiches4Life/status/251382184601071616 love this,114,6
This sandwich just never stops being good,114,19
intrigued! i've never been to that restaurant (it's near my place but i always dismissed it for the corny name?) but i'll have to check it out!,115,6
"I have a picture of this, emailed to Shannon. ",116,31
Good call trusting Cassie.,116,1
"welcome to New York City, am I right???",128,
nice tip on renny's!,138,31
anyone know where to get a good monte cristo in nyc?,139,
"okay, nvm this place stop n frisked Forest Whitaker... looking for a new favorite deli.",142,40
sounds meaty,148,31
sharing is caring,152,31
Manchego is the best!!,160,1
"""this is a food document"" - well said. ",169,31
AMAZING,174,31
$5! Great price!,177,1
apple horseradish sounds amazing,179,31
"great name, doug!",183,31
I love the level of experimentation going on in your sandwich life,184,1
Let's welcome our newest club member! YAY,189,31
Yo same. been really into pita everything lately,194,
French toast as bread!!,199,1
