sandwich_id,eater_id
1,1
1,2
1,3
2,1
2,2
2,4
3,1
4,1
5,1
6,1
6,5
7,6
8,1
8,7
9,1
10,2
11,6
12,1
13,1
14,1
15,6
16,8
17,1
18,1
19,1
19,8
19,9
20,1
21,10
22,11
23,10
24,1
24,4
25,2
26,11
27,1
27,2
28,1
28,2
29,1
30,12
31,13
31,14
32,1
33,6
34,2
35,1
36,1
37,1
38,1
39,1
40,4
41,1
42,1
43,15
44,1
45,1
45,2
45,6
46,1
47,1
48,1
48,16
49,6
49,17
50,12
51,12
52,1
52,18
53,12
54,11
55,19
56,4
57,19
58,19
59,19
60,20
61,1
61,21
62,20
63,1
63,22
64,1
65,1
66,1
67,1
67,23
68,1
69,6
70,1
71,1
72,1
73,6
73,20
74,1
75,6
76,1
77,1
77,3
78,24
79,1
80,1
80,2
80,3
80,10
81,25
82,1
82,2
82,10
82,26
83,1
84,1
85,27
86,13
87,1
88,3
89,1
90,3
90,1
90,28
90,29
91,15
92,20
93,30
94,1
95,5
96,31
97,32
98,2
99,1
100,25
101,27
102,1
103,33
104,4
105,6
106,34
107,32
108,12
109,31
109,30
110,31
111,25
112,1
113,35
114,31
115,19
116,31
117,2
118,1
119,2
120,32
121,32
122,19
123,19
124,19
125,36
126,13
127,1
128,1
129,1
129,2
130,37
131,1
131,7
132,38
133,1
134,31
135,39
136,1
137,1
138,40
139,20
140,20
141,40
142,40
143,31
144,31
145,2
145,8
146,1
147,25
148,1
149,1
149,4
150,1
150,4
151,31
152,41
153,31
154,19
155,42
156,1
157,1
157,2
158,1
159,1
160,12
161,12
162,36
163,1
164,1
164,2
165,1
166,31
167,1
168,43
169,41
170,43
171,1
171,34
172,31
173,31
174,3
175,31
175,44
176,45
177,33
178,1
179,41
180,1
181,1
182,1
183,29
184,29
185,1
186,1
187,1
188,46
189,47
190,31
191,48
192,48
193,29
194,48
195,31
196,1
197,1
198,1
199,49
200,50
201,29
202,51
203,52
