ingredients,date,location,price,tasting_notes
"Ricotta, apple, sardines, anchovies, black pepper on sourdough",08/20/2011,at home,,I love this sandwich.  Though it seems like it is not for everyone. Sam has also eaten this sandwich.
Falafel,10/02/2011,"Damascus Bread and Pastry Shop, 195 Atlantic Ave",~$5?,
"Shrimp po' boy: battered fried shrimp, lettuce, tomato, pickles, hot sauce",02/06/2012,"Cheeky Sandwiches, LES",$8.50,"Cheeky Sandwiches is one of my favorite places to buy sandwiches because their chicken sandwich is SO GOOD.  This po' boy was less impressive.  The bread seemed a little stale and as we all know, bread is important"
"Corned beef, swiss cheese, lettuce, tomato, onion, salt, pepper, banana peppers",02/06/2012,City Sub in Park Slope,~$8.00,"This sandwich is a lot like sandwiches from Hogan Brothers (Northfield, MN).  I do like that they give you the option to heat your sandwich without toasting the bread. "
"avocado, salt, pepper on whole wheat sourdough (open face)",02/09/2012,at home,,this sandwich never fails to be delicious
BLT with olive oil mayonnaise (what does that even mean?? it means it's made with olive oil not lard. i think. http://www.foodrenegade.com/decoding-labels-spectrum-organic-mayonnaise-olive-oil/ - aliya) on country white,02/13/2012,Brooklyn Bowl,~$9.00,The bread on this sandwich was so of brittle/crumbly which I did not like -sf
"turkey, brie, cranberries, pesto",02/21/2012,"Think coffee, Bowery st, Manhattan ",$7.95,"grilled like a panini. it was delicious, although a bit greasy and probably not very good for you. I would have preferred it had some arugula or spinach or something else a bit more lively to counteract the heavy cheese. But very enjoyable for an alternative turkey sandwich.
paid for by Nato Thompson. "
chicken kebab sandwich,02/27/2012,Black Iris,$8.50,"The chicken was very well cooked, hot suace was a great addition"
"avacado, salmon, brie and tomato",03/04/2012,"Athom, Bushwick",$8.50,DELIGHTFUL
roast beef sandwich,03/08/2012,my job,$3,i brought it from home; it was an okay sandwich
"burrito: beans, fresh herb salad, corn, chipotle from a can (!), chilula, brown rice, cheese, broiled.",03/14/2012,the schoolhouse kitchen (in wassaic),"not sure, made mostly of food leftovers other people bought","While the burrito holds a contriversal sandwich status, I think this deserves mention because A) it embodies one of the best things about sandwiches -- you can put any sort of random stuff from the refrigerator onto it and it generally (when well curated) tastes great! B) after eating it, I exclaimed, ""I LOVE BURRITOS!"""
"Tunisian Tuna with harrisa, hard boiled egg, cured lemon chopped israeli salad & olives",03/14/2012,Cafe Petisco,$9,I have almost tried every sandwich at Cafe Petisco.  This one was a little weird but mostly delicious
"hummus, jarlsburg, spring mix lettuce, salt and pepper on 12 grain",03/15/2012,at work,,adding salt & pepper can do wonders for a sandwich
"Tuna, olive tapanade, cherry tomatos",03/15/2012,Fiat Cae,$7.25,A delightful summery sandwich.  Olive tapanade is a wonderful sandwich ingredient
"smoked trout, marinated onions, parsley, lemon, mustard, potatoes on nice baguette",03/18/2012,"Sit & Wonder, prospect heights",$9 (i think?) (free for me -- got it at the end of the day before they were throwing them out),"OMG IT WAS SO GOOD! you'd think with bread AND potato it'd be too much but it wasn't it was perfect. and the parsley is key -- a nice fresh light balance. you kinda end up with fishy breath afterwards but it's so worth it. really it's like the classiest tuna sandwich you've ever had. but more like a nicoise salad.
while i'd be hesitant to actually pay $9 for a sandwich, this was totally worth it free. I ate two. I'd even probably buy it for realz as a midday sandwich."
"soppressetta, goat cheese and olive tapenade panini",03/19/2012,Inoteca- wine bar on LES,$10,delicious. SImply delicious. So big that it lasted two meals
"Avocado, salt and pepper on 9 grain (open face)",03/19/2012,at home,,I eat this sandwich all the time.  Always great.
"Pork chop, apple, mustard on challah",03/19/2012,"Cheeky Sandwiches, LES",$8,The fried chicken is really Cheeky's masterpiece but this is a solid sandwich
"Harissa falafel with hummus, israeli salad, pickled cabbage and tahini sauce",03/20/2012,"Taim Falafel & Smoothie Bar, West Village",$6.25,These people really know what they are doing
"Nutella, peanut butter and sriracha on 9 grain",03/22/2012,at work,,"Nimo recommended I eat this sandwich.  And then Molly also recommended I try it.  It was great, though I want to try it again on higher quality bread."
Two Veggie burgers (as the outside) with lentil soup in the middle,03/23/2012,at work,$2.50,"I ran out of groceries--no bread, cheese, anything-- and had only veggie burgers and a tiny bit of lentil soup left so I made this weird thing. Surprisingly ok, but what a mess! You need gloves if you want to eat this wet sandwich with your hands."
"lentil and beet salad, olive tapenade on toasted whole wheat (open face)",03/24/2012,in my bed,,"very good, but could have used something else...goat cheese?"
2012 Melt,03/24/2012,"modern times cafe, minneapolis",$8,sauteed seitan mushrooms spinach veggies hot cheese on toasted sub roll topped with garlic fries. this sandwich is DELICIOUS but it leaves  you thirsty for days.
"Saratoga Club: maple bacon, ""zesty"" chicken salad, some sort of lettuce, maybe tomato and POTATO CHIPS IN THE SANDWICH",03/24/2012,"Parm, Soho",$12,A+
Meatball parm,03/25/2012,"Parm, soho",$12,"I mean jesus christ, we're talking about the pinnacle of sandwichcraft here"
http://www.seriouseats.com/recipes/2012/03/cadbury-creme-egg-salad-sandwiches-recipe.html,03/27/2012,,,"have not tried this, maybe you should"
